City,State_Province,Country,Group_ID,city_order,Cluster,Image,Result,Reason for 2 or 3
Shizuoka,Japan,Shizuoka,12,2,3,3,1 good,
Shizuoka,Japan,Shizuoka,12,2,3,4,1 good,
Shizuoka,Japan,Shizuoka,12,2,3,5,1 good,
Shizuoka,Japan,Shizuoka,12,2,3,6,1 good,
Shizuoka,Japan,Shizuoka,12,2,3,7,1 good,
Shizuoka,Japan,Shizuoka,12,2,3,8,1 good,
Shizuoka,Japan,Shizuoka,12,2,4,1,1 good,
Shizuoka,Japan,Shizuoka,12,2,4,2,1 good,
Shizuoka,Japan,Shizuoka,12,2,4,3,1 good,
Shizuoka,Japan,Shizuoka,12,2,4,4,1 good,
Shizuoka,Japan,Shizuoka,12,2,4,5,1 good,
Shizuoka,Japan,Shizuoka,12,2,4,6,2 need discuss,small
Shizuoka,Japan,Shizuoka,12,2,4,7,1 good,
Shizuoka,Japan,Shizuoka,12,2,4,8,1 good,
Shizuoka,Japan,Shizuoka,12,2,5,1,3 exclude,nature
Shizuoka,Japan,Shizuoka,12,2,5,2,3 exclude,only cars on the road
Shizuoka,Japan,Shizuoka,12,2,5,3,3 exclude,nature
Shizuoka,Japan,Shizuoka,12,2,5,4,3 exclude,nature
Shizuoka,Japan,Shizuoka,12,2,5,5,3 exclude,nature
Shizuoka,Japan,Shizuoka,12,2,5,6,3 exclude,nature
Shizuoka,Japan,Shizuoka,12,2,5,7,1 good,
Shizuoka,Japan,Shizuoka,12,2,5,8,3 exclude,nature
Shizuoka,Japan,Shizuoka,12,2,6,1,3 exclude,nature
Shizuoka,Japan,Shizuoka,12,2,6,2,1 good,
Shizuoka,Japan,Shizuoka,12,2,6,3,3 exclude,nature
Shizuoka,Japan,Shizuoka,12,2,6,4,1 good,
Shizuoka,Japan,Shizuoka,12,2,6,5,3 exclude,nature / damaged image
Shizuoka,Japan,Shizuoka,12,2,6,6,3 exclude,nature / damaged image
Shizuoka,Japan,Shizuoka,12,2,6,7,1 good,
Shizuoka,Japan,Shizuoka,12,2,6,8,3 exclude,nature
Shizuoka,Japan,Shizuoka,12,2,7,1,2 need discuss,small
Shizuoka,Japan,Shizuoka,12,2,7,2,1 good,
Shizuoka,Japan,Shizuoka,12,2,7,3,1 good,
Shizuoka,Japan,Shizuoka,12,2,7,4,1 good,
Shizuoka,Japan,Shizuoka,12,2,7,5,1 good,
Shizuoka,Japan,Shizuoka,12,2,7,6,1 good,
Shizuoka,Japan,Shizuoka,12,2,7,7,1 good,
Shizuoka,Japan,Shizuoka,12,2,7,8,2 need discuss,bridge 
Shizuoka,Japan,Shizuoka,12,2,8,1,1 good,
Shizuoka,Japan,Shizuoka,12,2,8,2,1 good,
Shizuoka,Japan,Shizuoka,12,2,8,3,1 good,
Shizuoka,Japan,Shizuoka,12,2,8,4,1 good,
Shizuoka,Japan,Shizuoka,12,2,8,5,1 good,
Shizuoka,Japan,Shizuoka,12,2,8,6,1 good,
Shizuoka,Japan,Shizuoka,12,2,8,7,1 good,
Shizuoka,Japan,Shizuoka,12,2,8,8,1 good,
Xalapa,Mexico,Mexico,12,3,1,1,1 good,
Xalapa,Mexico,Mexico,12,3,1,2,1 good,
Xalapa,Mexico,Mexico,12,3,1,3,1 good,
Xalapa,Mexico,Mexico,12,3,1,4,1 good,
Xalapa,Mexico,Mexico,12,3,1,5,1 good,
Xalapa,Mexico,Mexico,12,3,1,6,1 good,
Xalapa,Mexico,Mexico,12,3,1,7,1 good,
Xalapa,Mexico,Mexico,12,3,1,8,1 good,
Xalapa,Mexico,Mexico,12,3,2,1,1 good,
Xalapa,Mexico,Mexico,12,3,2,2,1 good,
Xalapa,Mexico,Mexico,12,3,2,3,2 need discuss,cars on the road
Xalapa,Mexico,Mexico,12,3,2,4,1 good,
Xalapa,Mexico,Mexico,12,3,2,5,1 good,
Xalapa,Mexico,Mexico,12,3,2,6,1 good,
Xalapa,Mexico,Mexico,12,3,2,7,1 good,
