name,culture,size,location_type,number
Niigata_middle_pos_2,2,2,pos,2
Niigata_middle_pos_3,2,2,pos,3
Niigata_middle_pos_4,2,2,pos,4
Niigata_middle_pos_5,2,2,pos,5
Niigata_middle_pos_6,2,2,pos,6
Niigata_middle_pos_7,2,2,pos,7
Niigata_middle_pos_8,2,2,pos,8
Niigata_middle_sch_1,2,2,sch,1
Niigata_middle_sch_2,2,2,sch,2
Niigata_middle_sch_3,2,2,sch,3
Niigata_middle_sch_4,2,2,sch,4
Niigata_middle_sch_5,2,2,sch,5
Niigata_middle_sch_6,2,2,sch,6
Niigata_middle_sch_7,2,2,sch,7
Niigata_middle_sch_8,2,2,sch,8
Niigata_small_pos_1,2,1,pos,1
Niigata_small_pos_2,2,1,pos,2
Niigata_small_pos_3,2,1,pos,3
Niigata_small_pos_4,2,1,pos,4
Niigata_small_sch_1,2,1,sch,1
Niigata_small_sch_2,2,1,sch,2
Niigata_small_sch_3,2,1,sch,3
Niigata_small_sch_4,2,1,sch,4
Okinawa_large_pos_1,1,3,pos,1
Okinawa_large_pos_2,1,3,pos,2
Okinawa_large_pos_3,1,3,pos,3
Okinawa_large_pos_4,1,3,pos,4
Okinawa_large_pos_5,1,3,pos,5
Okinawa_large_pos_6,1,3,pos,6
Okinawa_large_pos_7,1,3,pos,7
Okinawa_large_pos_8,1,3,pos,8
Okinawa_large_pos_9,1,3,pos,9
Okinawa_large_pos_10,1,3,pos,10
Okinawa_large_pos_11,1,3,pos,11
Okinawa_large_pos_12,1,3,pos,12
Okinawa_large_sch_1,1,3,sch,1
Okinawa_large_sch_2,1,3,sch,2
Okinawa_large_sch_3,1,3,sch,3
Okinawa_large_sch_4,1,3,sch,4
Okinawa_large_sch_5,1,3,sch,5
Okinawa_large_sch_6,1,3,sch,6
Okinawa_large_sch_7,1,3,sch,7
Okinawa_large_sch_8,1,3,sch,8
Okinawa_large_sch_9,1,3,sch,9
Okinawa_large_sch_10,1,3,sch,10
Okinawa_large_sch_11,1,3,sch,11
Okinawa_large_sch_12,1,3,sch,12
Okinawa_middle_pos_1,1,2,pos,1
Okinawa_middle_pos_2,1,2,pos,2
Okinawa_middle_pos_3,1,2,pos,3
Okinawa_middle_pos_4,1,2,pos,4
Okinawa_middle_pos_5,1,2,pos,5
Okinawa_middle_pos_6,1,2,pos,6
Okinawa_middle_pos_7,1,2,pos,7
Okinawa_middle_pos_8,1,2,pos,8
Okinawa_middle_sch_1,1,2,sch,1
Okinawa_middle_sch_2,1,2,sch,2
Okinawa_middle_sch_3,1,2,sch,3
Okinawa_middle_sch_4,1,2,sch,4
Okinawa_middle_sch_5,1,2,sch,5
Okinawa_middle_sch_6,1,2,sch,6
Okinawa_middle_sch_7,1,2,sch,7
Okinawa_middle_sch_8,1,2,sch,8
Okinawa_small_pos_1,1,1,pos,1
Okinawa_small_pos_2,1,1,pos,2
Okinawa_small_pos_3,1,1,pos,3
Okinawa_small_pos_4,1,1,pos,4
Okinawa_small_sch_1,1,1,sch,1
Okinawa_small_sch_2,1,1,sch,2
Okinawa_small_sch_3,1,1,sch,3
Okinawa_small_sch_4,1,1,sch,4
Tokyo_large_pos_1,1,3,pos,1
Tokyo_large_pos_2,1,3,pos,2
Tokyo_large_pos_3,1,3,pos,3
Tokyo_large_pos_4,1,3,pos,4
Tokyo_large_pos_5,1,3,pos,5
Tokyo_large_pos_6,1,3,pos,6
Tokyo_large_pos_7,1,3,pos,7
Tokyo_large_pos_8,1,3,pos,8
Tokyo_large_pos_9,1,3,pos,9
Tokyo_large_pos_10,1,3,pos,10
Tokyo_large_pos_11,1,3,pos,11
Tokyo_large_pos_12,1,3,pos,12
Tokyo_large_sch_1,1,3,sch,1
Tokyo_large_sch_2,1,3,sch,2
Tokyo_large_sch_3,1,3,sch,3
Tokyo_large_sch_4,1,3,sch,4
Tokyo_large_sch_5,1,3,sch,5
Tokyo_large_sch_6,1,3,sch,6
Tokyo_large_sch_7,1,3,sch,7
Tokyo_large_sch_8,1,3,sch,8
Tokyo_large_sch_9,1,3,sch,9
Tokyo_large_sch_10,1,3,sch,10
Tokyo_large_sch_11,1,3,sch,11
Tokyo_large_sch_12,1,3,sch,12
Tokyo_middle_pos_1,1,2,pos,1
Tokyo_middle_pos_2,1,2,pos,2
Tokyo_middle_pos_3,1,2,pos,3
Tokyo_middle_pos_4,1,2,pos,4
Tokyo_middle_pos_5,1,2,pos,5
Tokyo_middle_pos_6,1,2,pos,6
Tokyo_middle_pos_7,1,2,pos,7
Tokyo_middle_pos_8,1,2,pos,8
Tokyo_middle_sch_1,1,2,sch,1
Tokyo_middle_sch_2,1,2,sch,2
Tokyo_middle_sch_3,1,2,sch,3
Tokyo_middle_sch_4,1,2,sch,4
Tokyo_middle_sch_5,1,2,sch,5
Tokyo_middle_sch_6,1,2,sch,6
Tokyo_middle_sch_7,1,2,sch,7
Tokyo_middle_sch_8,1,2,sch,8
Tokyo_small_pos_1,1,1,pos,1
Tokyo_small_pos_2,1,1,pos,2
Tokyo_small_pos_3,1,1,pos,3
Tokyo_small_pos_4,1,1,pos,4
Tokyo_small_sch_1,1,1,sch,1
Tokyo_small_sch_2,1,1,sch,2
Tokyo_small_sch_3,1,1,sch,3
Tokyo_small_sch_4,1,1,sch,4
Toyama_large_pos_1,2,3,pos,1
Toyama_large_pos_2,2,3,pos,2
Toyama_large_pos_3,2,3,pos,3
Toyama_large_pos_4,2,3,pos,4
Toyama_large_pos_5,2,3,pos,5
Toyama_large_pos_6,2,3,pos,6
Toyama_large_pos_7,2,3,pos,7
Toyama_large_pos_8,2,3,pos,8
Toyama_large_pos_9,2,3,pos,9
Toyama_large_pos_10,2,3,pos,10
Toyama_large_pos_11,2,3,pos,11
Toyama_large_pos_12,2,3,pos,12
Toyama_large_sch_1,2,3,sch,1
Toyama_large_sch_2,2,3,sch,2
Toyama_large_sch_3,2,3,sch,3
Toyama_large_sch_4,2,3,sch,4
Toyama_large_sch_5,2,3,sch,5
Toyama_large_sch_6,2,3,sch,6
Toyama_large_sch_7,2,3,sch,7
Toyama_large_sch_8,2,3,sch,8
Toyama_large_sch_9,2,3,sch,9
Toyama_large_sch_10,2,3,sch,10
Toyama_large_sch_11,2,3,sch,11
Toyama_large_sch_12,2,3,sch,12
Toyama_middle_pos_1,2,2,pos,1
Toyama_middle_pos_2,2,2,pos,2
Toyama_middle_pos_3,2,2,pos,3
Toyama_middle_pos_4,2,2,pos,4
Toyama_middle_pos_5,2,2,pos,5
Toyama_middle_pos_6,2,2,pos,6
Toyama_middle_pos_7,2,2,pos,7
Toyama_middle_pos_8,2,2,pos,8
Toyama_middle_sch_1,2,2,sch,1
Toyama_middle_sch_2,2,2,sch,2
Toyama_middle_sch_3,2,2,sch,3
Toyama_middle_sch_4,2,2,sch,4
Toyama_middle_sch_5,2,2,sch,5
Toyama_middle_sch_6,2,2,sch,6
Toyama_middle_sch_7,2,2,sch,7
Toyama_middle_sch_8,2,2,sch,8
Toyama_small_pos_1,2,1,pos,1
Toyama_small_pos_2,2,1,pos,2
Toyama_small_pos_3,2,1,pos,3
Toyama_small_pos_4,2,1,pos,4
Toyama_small_sch_1,2,1,sch,1
Toyama_small_sch_2,2,1,sch,2
Toyama_small_sch_3,2,1,sch,3
Toyama_small_sch_4,2,1,sch,4
